row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Công ty Cổ phần Đầu tư và Phát triển Năng lượng Vinaconex,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Vinaconex,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Vinaconex,55.396.800.278,-,55.396.800.278,-,55396800278.0,,55396800278.0,
Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,13.082.914.986,-,13.082.914.986,-,13082914986.0,,13082914986.0,
Công ty Cổ phần Thủy điện Sơn Trà,Công ty Cổ phần Thủy điện Sơn Trà,Công ty Cổ phần Thủy điện Sơn Trà,1.536.000.000,-,1.536.000.000,-,1536000000.0,,1536000000.0,
Công ty Cổ phần Đầu tư và Phát triển Dung Quát,Công ty Cổ phần Đầu tư và Phát triển Dung Quát,Công ty Cổ phần Đầu tư và Phát triển Dung Quát,538.200.000,-,538.200.000,-,538200000.0,,538200000.0,
Công ty Cổ phần Sông Đà - Đất Vàng,Công ty Cổ phần Sông Đà - Đất Vàng,Công ty Cổ phần Sông Đà - Đất Vàng,5.000.000.000,-,5.000.000.000,-,5000000000.0,,5000000000.0,
Công ty Cổ phần Tư vấn Sông Đà Sao,Công ty Cổ phần Tư vấn Sông Đà Sao,Công ty Cổ phần Tư vấn Sông Đà Sao,300.000.000,-,300.000.000,-,300000000.0,,300000000.0,
Công ty Cổ phần Sông Đà Nha Trang,Công ty Cổ phần Sông Đà Nha Trang,Công ty Cổ phần Sông Đà Nha Trang,5.930.749.831,-,5.930.749.831,-,5930749831.0,,5930749831.0,
Công ty Cổ phần Công nghiệp Cao su COECO,Công ty Cổ phần Công nghiệp Cao su COECO,Công ty Cổ phần Công nghiệp Cao su COECO,4.573.200.000,(423.244.509),4.573.200.000,(85.051.327),4573200000.0,-423244509.0,4573200000.0,-85051327.0
Công ty Cổ phần Khai thác và Chế biến Khoáng sản Sông Đà,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Sông Đà,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Sông Đà,25.724.000.000,(4.339.546.714),25.724.000.000,(4.339.546.714),25724000000.0,-4339546714.0,25724000000.0,-4339546714.0
Công ty Cổ phần Kỹ thuật điện Sông Đà,Công ty Cổ phần Kỹ thuật điện Sông Đà,Công ty Cổ phần Kỹ thuật điện Sông Đà,165.300.000,-,165.300.000,(165.300.000),165300000.0,,165300000.0,-165300000.0
