row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động số,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/Giấy phép hoạt động số,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
1,1,1,"Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV (""BAMC"")",0101196750 ngày 14 tháng 05 năm 2018 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Tài chính,"100,00%",,,,1.0
2,2,2,"Công ty Cổ phần Chứng khoán BIDV (""BSC"")",111/GP-UBCK ngày 31 tháng 12 năm 2010 của Ủy ban Chứng khoán Nhà nước và Giấy phép điều chỉnh số 70/GPĐC-UBCK ngày 13 tháng 9 năm 2023 của Ủy ban Chứng khoán Nhà nước cấp,Chứng khoán,"51,96%",,,,0.5196000000000001
3,3,3,"Tổng Công ty Cổ phần Bảo hiểm BIDV (""BIC"")",11/GPĐC20/KDBH ngày 26 tháng 7 năm 2016 của Bộ Tài chính,Bảo hiểm,"51,00%",,,,0.51
4,4,4,"Công ty Cổ phần Chứng khoán MHB (""MHBS"")",45/UBCK-GPHĐKD ngày 28 tháng 12 năm 2006 của Ủy ban Chứng khoán Nhà nước,Chứng khoán,"60,00%",,,,0.6
5,5,5,"Ngân hàng Đầu tư và Phát triển Campuchia (""BIDC"")",B7.09.148 ngày 14 tháng 8 năm 2009 của Ngân hàng Quốc gia Campuchia,Tài chính/Ngân hàng,"98,50%",,,,0.985
6,6,6,"Công ty Liên doanh Bảo hiểm Lào Việt (""LVI"") (*)",077-08/ĐT ngày 19 tháng 6 năm 2008 do Bộ Kế hoạch Đầu tư của nước Cộng hòa dân chủ nhân dân Lào cấp và Giấy Chứng nhận đầu tư ra nước ngoài số 146/BKH/ĐTRNN ngày 19 tháng 6 năm 2008 do Bộ Kế hoạch và Đầu tư cấp,Bảo hiểm,"33,15%",,,,0.33149999999999996
7,7,7,"Ngân hàng Liên doanh Lào Việt (""LVB"")",Giấy phép đầu tư nước ngoài số 985-326 ngày 10 tháng 6 năm 1999 và bản sửa đổi gần nhất số 003-2021/KH-DT4 ngày 04 tháng 01 năm 2021 do Ủy Ban Quản lý Đầu tư nước ngoài của CHDCND Lào cấp,Ngân hàng,"65,00%",,,,0.65
8,8,8,"Công ty Cho thuê Tài chính TNHH BIDV - SuMi TRUST (""BSL"")","0100777569, đăng ký thay đổi lần thứ 14 ngày 28 tháng 3 năm 2018 của Sở Kế hoạch và Đầu tư thành phố Hồ Chí Minh",Cho thuê Tài chính,"50,00%",,,,0.5
9,9,9,Công ty Chứng khoán Campuchia - Việt Nam (*),005.SECC/BLPH ngày 20 tháng 10 năm 2010 của Ủy ban Chứng khoán Campuchia,Chứng khoán,"98,50%",,,,0.985
10,10,10,Công ty Bảo hiểm Campuchia - Việt Nam (*),Đăng ký số Co. 6037/09E ngày 06 tháng 08 năm 2009 của Bộ Thương mại Campuchia,Bảo hiểm,"50,23%",,,,0.5023
