row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,,,
Ông Trần Hoài Nam,Trả trước người bán ngắn hạn > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Trả trước tiền mua đất,90.440.887.879,-,,90440887879.0,
Ông Trần Ngọc Thành,Trả trước người bán ngắn hạn > Ông Trần Ngọc Thành,Ông Trần Ngọc Thành,Trả trước tiền mua đất,20.540.000.000,-,,20540000000.0,
DXMN,Trả trước người bán ngắn hạn > DXMN,DXMN,Dịch vụ môi giới,18.354.444.949,20.290.883.631,,18354444949.0,20290883631.0
DTMB,Trả trước người bán ngắn hạn > DTMB,DTMB,Chuyển nhượng BDS,1.467.321.279,-,,1467321279.0,
Hà An,Trả trước người bán ngắn hạn > Hà An,Hà An,Nhận chuyển nhượng BDS,1.038.569.931,-,,1038569931.0,
,,,"Chi phí điện, nước",100.725.668,-,,100725668.0,
,,,,131.941.949.706,20.290.883.631,,131941949706.0,20290883631.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Vicco,Phải trả người bán ngắn hạn > Vicco,Vicco,Chi phí thuê văn phòng,822.423.327,4.333.061.487,,822423327.0,4333061487.0
Ha An,Phải trả người bán ngắn hạn > Ha An,Ha An,"Doanh thu bán căn hộ, nhà phố và đất nền",11.084.857,398.407.650,,11084857.0,398407650.0
Ha An,Phải trả người bán ngắn hạn > Ha An,Ha An,Chi phí điện nước,500.668,500.668,,500668.0,500668.0
,,,,834.008.852,4.731.969.805,,834008852.0,4731969805.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Hà Thuận Hùng,Người mua trả tiền trước ngắn hạn > Hà Thuận Hùng,Hà Thuận Hùng,Dịch vụ xây dựng,6.937.790.382,-,,6937790382.0,
Ông Lê Đăng Quốc Hùng,Người mua trả tiền trước ngắn hạn > Ông Lê Đăng Quốc Hùng,Ông Lê Đăng Quốc Hùng,Trả trước tiền mua căn hộ,1.888.191.712,1.888.191.712,,1888191712.0,1888191712.0
DXG,Người mua trả tiền trước ngắn hạn > DXG,DXG,Phí dịch vụ,313.000.000,313.000.000,,313000000.0,313000000.0
,,,,9.138.982.094,2.201.191.712,,9138982094.0,2201191712.0
