row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Trong nướcTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Trong nướcTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.681.052,-,1.681.052,1681052.0,,1681052.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,8.217.767,-,8.217.767,8217767.0,,8217767.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,67.907.053,290.521,68.197.574,67907053.0,290521.0,68197574.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,156.721,-,156.721,156721.0,,156721.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,266.345.545,-,266.345.545,266345545.0,,266345545.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,16.495,-,16.495,16495.0,,16495.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,60.998.658,-,60.998.658,60998658.0,,60998658.0
Gớp vốn đầu tư dài hạn,Tài sản > Gớp vốn đầu tư dài hạn,Gớp vốn đầu tư dài hạn,919.125,542,919.667,919125.0,542.0,919667.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,754.046,-,754.046,754046.0,,754046.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,7.180.564,-,7.180.564,7180564.0,,7180564.0
,,,414.177.026,291.063,414.468.089,414177026.0,291063.0,414468089.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,75.947.468,22.692.253,98.639.721,75947468.0,22692253.0,98639721.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,234.146.048,2.857.431,237.003.479,234146048.0,2857431.0,237003479.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",6.930,-,6.930,6930.0,,6930.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,23.896.936,-,23.896.936,23896936.0,,23896936.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,12.783.094,-,12.783.094,12783094.0,,12783094.0
,,,346.780.476,25.549.684,372.330.160,346780476.0,25549684.0,372330160.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,,,,
Cam kết giao dịch hối đoái,Các cam kết ngoại bảng > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,227.964.990,-,227.964.990,227964990.0,,227964990.0
Cam kết trong nghiệp vụ thu tín dụng,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ thu tín dụng,Cam kết trong nghiệp vụ thu tín dụng,1.943.650,-,1.943.650,1943650.0,,1943650.0
Bảo lãnh khác,Các cam kết ngoại bảng > Bảo lãnh khác,Bảo lãnh khác,7.025.057,-,7.025.057,7025057.0,,7025057.0
Các cam kết khác,Các cam kết ngoại bảng > Các cam kết khác,Các cam kết khác,38.380.834,-,38.380.834,38380834.0,,38380834.0
Lãi cho vay và phí phải thu chưa thu được,Các cam kết ngoại bảng > Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,3.162.280,-,3.162.280,3162280.0,,3162280.0
Nợ khó đòi đã xử lý,Các cam kết ngoại bảng > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,18.479.513,-,18.479.513,18479513.0,,18479513.0
Tài sản và chứng từ khác,Các cam kết ngoại bảng > Tài sản và chứng từ khác,Tài sản và chứng từ khác,29.531.434,-,29.531.434,29531434.0,,29531434.0
