row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,,,
Ông Trần Hoài Nam,Trả trước người bán ngắn hạn > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Trả trước tiền mua đất,55.152.361.777,90.440.887.879,,55152361777.0,90440887879.0
Ông Trần Ngọc Thành,Trả trước người bán ngắn hạn > Ông Trần Ngọc Thành,Ông Trần Ngọc Thành,Trả trước tiền mua đất,20.540.000.000,20.540.000.000,,20540000000.0,20540000000.0
DXMN,Trả trước người bán ngắn hạn > DXMN,DXMN,Dịch vụ môi giới,17.550.460.284,18.354.444.949,,17550460284.0,18354444949.0
DTMB,Trả trước người bán ngắn hạn > DTMB,DTMB,Chuyển nhượng BĐS,1.467.321.279,1.467.321.279,,1467321279.0,1467321279.0
Hà An,Trả trước người bán ngắn hạn > Hà An,Hà An,Nhận chuyển nhượng BĐS,-,1.038.569.931,,,1038569931.0
Hà An,Trả trước người bán ngắn hạn > Hà An,Hà An,"Chi phí điện, nước",-,100.725.668,,,100725668.0
,,,,94.710.143.340,131.941.949.706,,94710143340.0,131941949706.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Vicco,Phải trả người bán ngắn hạn > Vicco,Vicco,Chi phí thuê văn phòng,1.763.315.763,822.423.327,,1763315763.0,822423327.0
Hà An,Phải trả người bán ngắn hạn > Hà An,Hà An,"Bán căn hộ, nhà phố và đất nền",749.252.742,11.084.857,,749252742.0,11084857.0
Hà An,Phải trả người bán ngắn hạn > Hà An,Hà An,Chi phí điện nước,500.668,500.668,,500668.0,500668.0
,,,,2.513.069.173,834.008.852,,2513069173.0,834008852.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Hà Thuận Hùng,Người mua trả tiền trước ngắn hạn > Hà Thuận Hùng,Hà Thuận Hùng,Dịch vụ xây dựng,6.937.790.382,6.937.790.382,,6937790382.0,6937790382.0
Ông Lê Đăng Quốc Hùng,Người mua trả tiền trước ngắn hạn > Ông Lê Đăng Quốc Hùng,Ông Lê Đăng Quốc Hùng,Trả trước tiền mua căn hộ,1.888.191.712,1.888.191.712,,1888191712.0,1888191712.0
DXG,Người mua trả tiền trước ngắn hạn > DXG,DXG,Phí dịch vụ,313.000.000,313.000.000,,313000000.0,313000000.0
,,,,9.138.982.094,9.138.982.094,,9138982094.0,9138982094.0
