row_label_raw,row_label_full,"CHỈ TIÊU > Số dư tại ngày 01/01/2020 > Lợi nhuận sau thuế năm 2020 > Trích lập các quỹ từ lợi nhuận năm 2019 > Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019",Vốn góp chủ sở hữu > 3.080.000 > -,Thặng dư vốn cổ phần > 716 > -,Chênh lệch tỷ giá hồi đoái > -,Quỹ dự trữ bổ sung vốn điều lệ > 53.000 > - > 7.231 > -,Quỹ đầu tư phát triển > 8.784 > -,Quỹ dự phòng tài chính > 225.676 > - > 14.462 > -,Lợi nhuận chưa phân phối > 192.703 > 97.046 > (21.693) > (35.567),Tổng > 3.560.879 > 97.046 > - > (35.567),numeric__Vốn góp chủ sở hữu > 3.080.000 > -,numeric__Thặng dư vốn cổ phần > 716 > -,numeric__Chênh lệch tỷ giá hồi đoái > -,numeric__Quỹ dự trữ bổ sung vốn điều lệ > 53.000 > - > 7.231 > -,numeric__Quỹ đầu tư phát triển > 8.784 > -,numeric__Quỹ dự phòng tài chính > 225.676 > - > 14.462 > -,numeric__Lợi nhuận chưa phân phối > 192.703 > 97.046 > (21.693) > (35.567),numeric__Tổng > 3.560.879 > 97.046 > - > (35.567)
Trích quỹ hoạt động Hội đồng Quản trị - Ban Kiểm soát,Trích quỹ hoạt động Hội đồng Quản trị - Ban Kiểm soát,Trích quỹ hoạt động Hội đồng Quản trị - Ban Kiểm soát,-,-,-,-,-,-,(876),(876),,,,,,,-876.0,-876.0
Trích quỹ thưởng của Người quản lý,Trích quỹ thưởng của Người quản lý,Trích quỹ thưởng của Người quản lý,-,-,-,-,-,-,(500),(500),,,,,,,-500.0,-500.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,3.080.000,716,-,60.231,8.784,240.138,231.113,3.620.982,3080000.0,716.0,,60231.0,8784.0,240138.0,231113.0,3620982.0
Số dư tại ngày 01/01/2021,Số dư tại ngày 01/01/2021,Số dư tại ngày 01/01/2021,3.080.000,716,-,60.231,8.784,240.138,231.113,3.620.982,3080000.0,716.0,,60231.0,8784.0,240138.0,231113.0,3620982.0
Lợi nhuận sau thuế năm 2021,Lợi nhuận sau thuế năm 2021,Lợi nhuận sau thuế năm 2021,-,-,-,-,-,-,122.686,122.686,,,,,,,122686.0,122686.0
Trích lập các quỹ từ lợi nhuận năm 2020,Trích lập các quỹ từ lợi nhuận năm 2020,Trích lập các quỹ từ lợi nhuận năm 2020,-,-,-,4.852,,9.705,(14.557),-,,,,4852.0,,9705.0,-14557.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,-,-,-,-,(33.564),(33.564),,,,,,,-33564.0,-33564.0
Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,-,-,-,-,-,-,(830),(830),,,,,,,-830.0,-830.0
Trích quỹ thưởng của Người quản lý,Trích quỹ thưởng của Người quản lý,Trích quỹ thưởng của Người quản lý,-,-,-,-,-,-,(576),(576),,,,,,,-576.0,-576.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,3.080.000,716,-,65.083,8.784,249.843,304.272,3.708.698,3080000.0,716.0,,65083.0,8784.0,249843.0,304272.0,3708698.0
