row_label_raw,row_label_full,22. Vốn quỹ của Tổ chức tín dụng,22. Vốn quỹ của Tổ chức tín dụng_1,22. Vốn quỹ của Tổ chức tín dụng_2,22. Vốn quỹ của Tổ chức tín dụng_3,22. Vốn quỹ của Tổ chức tín dụng_4,22. Vốn quỹ của Tổ chức tín dụng_5,22. Vốn quỹ của Tổ chức tín dụng_6,22. Vốn quỹ của Tổ chức tín dụng_7,22. Vốn quỹ của Tổ chức tín dụng_8,numeric__22. Vốn quỹ của Tổ chức tín dụng_1,numeric__22. Vốn quỹ của Tổ chức tín dụng_2,numeric__22. Vốn quỹ của Tổ chức tín dụng_3,numeric__22. Vốn quỹ của Tổ chức tín dụng_4,numeric__22. Vốn quỹ của Tổ chức tín dụng_5,numeric__22. Vốn quỹ của Tổ chức tín dụng_6,numeric__22. Vốn quỹ của Tổ chức tín dụng_7,numeric__22. Vốn quỹ của Tổ chức tín dụng_8
22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,22.1. Báo cáo tinh hình thay đổi vốn chủ sở hữu,,,,,,,,
CHỈ TIÊU,CHỈ TIÊU,CHỈ TIÊU,Vốn góp chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận chưa phân phối,Tổng,,,,,,,,
Số dư tại ngày 01/01/2021,CHỈ TIÊU > Số dư tại ngày 01/01/2021,Số dư tại ngày 01/01/2021,3.080.000,716,-,60.231,8.784,240.138,231.113,3.620.982,3080000.0,716.0,,60231.0,8784.0,240138.0,231113.0,3620982.0
Lợi nhuận sau thuế năm 2021,CHỈ TIÊU > Lợi nhuận sau thuế năm 2021,Lợi nhuận sau thuế năm 2021,-,-,-,-,-,-,122.686,122.686,,,,,,,122686.0,122686.0
Trích lập các quỹ từ lợi nhuận năm 2020,CHỈ TIÊU > Trích lập các quỹ từ lợi nhuận năm 2020,Trích lập các quỹ từ lợi nhuận năm 2020,-,-,-,4.852,,9.705,(14.557),-,,,,4852.0,,9705.0,-14557.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","CHỈ TIÊU > Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,-,-,-,-,(33.564),(33.564),,,,,,,-33564.0,-33564.0
Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,CHỈ TIÊU > Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trích quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,-,-,-,-,-,-,(830),(830),,,,,,,-830.0,-830.0
Trích quỹ thưởng của Người quản lý,CHỈ TIÊU > Trích quỹ thưởng của Người quản lý,Trích quỹ thưởng của Người quản lý,-,-,-,-,-,-,(576),(576),,,,,,,-576.0,-576.0
Số dư tại ngày 31/12/2021,CHỈ TIÊU > Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,3.080.000,716,-,65.083,8.784,249.843,304.272,3.708.698,3080000.0,716.0,,65083.0,8784.0,249843.0,304272.0,3708698.0
Số dư tại ngày 01/01/2022,CHỈ TIÊU > Số dư tại ngày 01/01/2022,Số dư tại ngày 01/01/2022,3.080.000,716,-,65.083,8.784,249.843,304.272,3.708.698,3080000.0,716.0,,65083.0,8784.0,249843.0,304272.0,3708698.0
Lợi nhuận sau thuế năm 2022,CHỈ TIÊU > Lợi nhuận sau thuế năm 2022,Lợi nhuận sau thuế năm 2022,-,-,-,-,-,-,189.989,189.989,,,,,,,189989.0,189989.0
Trích lập các quỹ từ lợi nhuận năm 2021,CHỈ TIÊU > Trích lập các quỹ từ lợi nhuận năm 2021,Trích lập các quỹ từ lợi nhuận năm 2021,-,-,-,6.134,-,12.269,(18.403),-,,,,6134.0,,12269.0,-18403.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,-,-,-,-,,,,,,,,
Số dư tại ngày 31/12/2022,Chênh lệch tỷ giá hối đoái > Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,3.080.000,716,-,71.217,8.784,262.112,475.858,3.898.687,3080000.0,716.0,,71217.0,8784.0,262112.0,475858.0,3898687.0
