row_label_raw,row_label_full,Loại vay ngắn hạn,Lãi suất vay,Số dư vay đầu năm,Số vay trong năm,Số trả trong năm,Số dư cuối năm,numeric__Lãi suất vay,numeric__Số dư vay đầu năm,numeric__Số vay trong năm,numeric__Số trả trong năm,numeric__Số dư cuối năm
Vay ngân hàng trong nước,Vay ngân hàng trong nước,Vay ngân hàng trong nước,"Dưới 7,8%",4.540.000.000.000,19.296.600.000.000,15.618.000.000.000,8.218.600.000.000,,4540000000000.0,19296600000000.0,15618000000000.0,8218600000000.0
Ngân hàng TMCP Đầu tư và Phát triển VN - CN Hà Thành,Ngân hàng TMCP Đầu tư và Phát triển VN - CN Hà Thành,Ngân hàng TMCP Đầu tư và Phát triển VN - CN Hà Thành,,,450.000.000.000,,450.000.000.000,,,450000000000.0,,450000000000.0
Ngân hàng TMCP Quốc Tế VN- VIB,Ngân hàng TMCP Quốc Tế VN- VIB,Ngân hàng TMCP Quốc Tế VN- VIB,,650.000.000.000,2.000.000.000.000,1.150.000.000.000,1.500.000.000.000,,650000000000.0,2000000000000.0,1150000000000.0,1500000000000.0
Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,,400.000.000.000,1.932.000.000.000,1.832.000.000.000,500.000.000.000,,400000000000.0,1932000000000.0,1832000000000.0,500000000000.0
Ngân hàng TMCP Công Thương Việt Nam - Chi Nhánh Nam Thăng Long,Ngân hàng TMCP Công Thương Việt Nam - Chi Nhánh Nam Thăng Long,Ngân hàng TMCP Công Thương Việt Nam - Chi Nhánh Nam Thăng Long,,730.000.000.000,1.725.000.000.000,1.710.000.000.000,745.000.000.000,,730000000000.0,1725000000000.0,1710000000000.0,745000000000.0
Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,,800.000.000.000,2.500.000.000.000,2.945.000.000.000,355.000.000.000,,800000000000.0,2500000000000.0,2945000000000.0,355000000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng-VPBANK,Ngân hàng TMCP Việt Nam Thịnh Vượng-VPBANK,Ngân hàng TMCP Việt Nam Thịnh Vượng-VPBANK,,600.000.000.000,3.730.000.000.000,3.530.000.000.000,800.000.000.000,,600000000000.0,3730000000000.0,3530000000000.0,800000000000.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,,110.000.000.000,747.800.000.000,710.000.000.000,147.800.000.000,,110000000000.0,747800000000.0,710000000000.0,147800000000.0
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,,500.000.000.000,1.833.000.000.000,1.230.000.000.000,1.103.000.000.000,,500000000000.0,1833000000000.0,1230000000000.0,1103000000000.0
Ngân hàng TMCP Ngoại Thương VN-CN Thanh Xuân,Ngân hàng TMCP Ngoại Thương VN-CN Thanh Xuân,Ngân hàng TMCP Ngoại Thương VN-CN Thanh Xuân,,450.000.000.000,2.378.800.000.000,1.711.000.000.000,1.117.800.000.000,,450000000000.0,2378800000000.0,1711000000000.0,1117800000000.0
Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh (HDBank),Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh (HDBank),Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh (HDBank),,300.000.000.000,2.000.000.000.000,800.000.000.000,1.500.000.000.000,,300000000000.0,2000000000000.0,800000000000.0,1500000000000.0
"Vay các tổ chức, cá nhân khác trong nước","Vay các tổ chức, cá nhân khác trong nước","Vay các tổ chức, cá nhân khác trong nước","Dưới 7,1%",935.933.586.028,1.442.789.769.359,1.839.223.355.387,539.500.000.000,,935933586028.0,1442789769359.0,1839223355387.0,539500000000.0
Cộng,Cộng,Cộng,,5.475.933.586.028,20.739.389.769.359,17.457.223.355.387,8.758.100.000.000,,5475933586028.0,20739389769359.0,17457223355387.0,8758100000000.0
