row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2018Triệu đồng,Ngày 31 tháng 12năm 2017Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Ngày 31 tháng 12năm 2017Triệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,20.626,3.792,,20626.0,3792.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,,58.158.877,74.526.333,,58158877.0,74526333.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,1.466.973,369.768,,1466973.0,369768.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.466.751,370.388,,1466751.0,370388.0
- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,,55.225.153,73.786.177,,55225153.0,73786177.0
Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,,1.860,-,,1860.0,
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,14.799.169,8.801.290,,14799169.0,8801290.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,13.860.017,11.590.623,,13860017.0,11590623.0
Các cam kết khác (*),Các cam kết khác (*),Các cam kết khác (*),,91.315.542,7.144.151,,91315542.0,7144151.0
,,,38,178.156.091,102.066.189,38.0,178156091.0,102066189.0
