row_label_raw,row_label_full,Tên công ty con,Trụ sở chính,Hoạt động chính,Tình trạng,% sở hữu,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tình trạng,numeric__% sở hữu
Công ty TNHH Son Hòa Bình,Công ty TNHH Son Hòa Bình,Công ty TNHH Son Hòa Bình,Thành phố Hồ Chí Minh,"Sản xuất, mua bán vật liệu xây dựng; và cung cấp dịch vụ trang trí nội thất",Đang hoạt động,"100,00",,,,100.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Thành phố Hồ Chí Minh,"Cung cấp dịch vụ thiết kế kiến trúc và tư vấn thiết kế, xây dựng",Đang hoạt động,"74,67",,,,74.67
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất; và xây dựng nhà các loại,Đang hoạt động,"98,85",,,,98.85
Công ty Cổ phần Okamura Home Vietnam,Công ty Cổ phần Okamura Home Vietnam,Công ty Cổ phần Okamura Home Vietnam,Thành phố Hồ Chí Minh,"Tư vấn, quản lý và môi giới bất động sản",Đang hoạt động,"58,91",,,,58.91
Công ty TNHH Sàn Giao dịch Bất Động sản,Công ty TNHH Sàn Giao dịch Bất Động sản,Công ty TNHH Sàn Giao dịch Bất Động sản,Thành phố Hồ Chí Minh,"Tư vấn, môi giới và đấu giá bất động sản và quyền sử dụng đất",Đang hoạt động,"98,85",,,,98.85
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Tỉnh Long An,"Đầu tư, xây dựng khu công nghiệp",Đang hoạt động,"97,87",,,,97.87
Công ty TNHH Sài Gòn Ngày Mới,Công ty TNHH Sài Gòn Ngày Mới,Công ty TNHH Sài Gòn Ngày Mới,Thành phố Hồ Chí Minh,Kinh doanh các dự án bất động sản,Đang hoạt động,"99,14",,,,99.14
Công ty Cổ phần Tiến Phát Sanyo Homes (i),Công ty Cổ phần Tiến Phát Sanyo Homes (i),Công ty Cổ phần Tiến Phát Sanyo Homes (i),Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất,Đang hoạt động,"49,91",,,,49.91
Công ty Cổ phần Tiến Phát Tân Thuận (i),Công ty Cổ phần Tiến Phát Tân Thuận (i),Công ty Cổ phần Tiến Phát Tân Thuận (i),Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất,Đang hoạt động,"49,91",,,,49.91
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Myanmar,"Cung cấp dịch vụ thiết kế, xây dựng, dịch vụ giám sát chất lượng, quản lý xây dựng và dịch vụ quản lý dự án",Trước hoạt động,"100,00",,,,100.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Hà Nội,Xây dựng nhà các loại; hoàn thiện công trình xây dựng; chuẩn bị mặt bằng; lắp đặt hệ thống cấp thoát nước; trang trí nội thất và kinh doanh bất động sản,Ngưng hoạt động,"100,00",,,,100.0
Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Tỉnh Thừa Thiên Huế,Đầu tư xây dựng khu biệt thự nghĩ dưỡng cao cấp Le Royal An Nam,Ngưng hoạt động,"95,84",,,,95.84
