row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Cổ phiếu quỹ Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Quỹ đầu tư phát triển Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,9.244.914,1.332,-,-,1.700.000,744.738,130.958,1.583.724,13.405.666,9244914.0,1332.0,,,1700000.0,744738.0,130958.0,1583724.0,13405666.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,4.637.745,4.637.745,,,,,,,,4637745.0,4637745.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,-,-,326.575,163.287,(489.862),-,,,,,,326575.0,163287.0,-489862.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(97.972),(97.972),,,,,,,,-97972.0,-97972.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),1.848.965,18,-,-,(1.700.000),-,(130.958),(18.025),-,1848965.0,18.0,,,-1700000.0,,-130958.0,-18025.0,
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,11.093.879,1.350,-,-,-,1.071.313,163.287,5.615.610,17.945.439,11093879.0,1350.0,,,,1071313.0,163287.0,5615610.0,17945439.0
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,7.834.673,720.568,(719.356),-,1.100.000,536.380,56.211,1.115.594,10.644.070,7834673.0,720568.0,-719356.0,,1100000.0,536380.0,56211.0,1115594.0,10644070.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,3.265.745,3.265.745,,,,,,,,3265745.0,3265745.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,-,1.700.000,210.473,110.775,(2.021.248),-,,,,,1700000.0,210473.0,110775.0,-2021248.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(66.465),(66.465),,,,,,,,-66465.0,-66465.0
Thường cho nhân viên bằng cổ phiếu quỹ (*),Thường cho nhân viên bằng cổ phiếu quỹ (*),Thường cho nhân viên bằng cổ phiếu quỹ (*),-,(175.110),175.110,-,-,-,-,-,-,,-175110.0,175110.0,,,,,,
Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,-,-,-,-,-,-,-,(430.531),(430.531),,,,,,,,-430531.0,-430531.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),1.410.241,-,-,-,(1.100.000),-,(36.028),(274.213),-,1410241.0,,,,-1100000.0,,-36028.0,-274213.0,
Sử dụng cổ phiếu quỹ để thưởng cho cổ đông hiện hữu (*),Sử dụng cổ phiếu quỹ để thưởng cho cổ đông hiện hữu (*),Sử dụng cổ phiếu quỹ để thưởng cho cổ đông hiện hữu (*),-,(544.246),544.246,-,-,-,-,-,-,,-544246.0,544246.0,,,,,,
Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,-,120,-,-,-,-,-,-,120,,120.0,,,,,,,120.0
Sử dụng Quỹ dự phòng tài chính xử lý rủi ro (*),Sử dụng Quỹ dự phòng tài chính xử lý rủi ro (*),Sử dụng Quỹ dự phòng tài chính xử lý rủi ro (*),-,-,-,-,-,(2.115),-,-,(2.115),,,,,,-2115.0,,,-2115.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,-,-,-,(5.158),(5.158),,,,,,,,-5158.0,-5158.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,9.244.914,1.332,-,-,1.700.000,744.738,130.958,1.583.724,13.405.666,9244914.0,1332.0,,,1700000.0,744738.0,130958.0,1583724.0,13405666.0
