row_label_raw,row_label_full,Năm 2023,Đồng Nghìn VND,Fluorit Nghìn VND,Vonfram Nghìn VND,Các bộ phận khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Đồng Nghìn VND,numeric__Fluorit Nghìn VND,numeric__Vonfram Nghìn VND,numeric__Các bộ phận khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,1.043.540.141,1.419.520.569,11.429.312.414,200.880.363,14.093.253.487,1043540141.0,1419520569.0,11429312414.0,200880363.0,14093253487.0
Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,Lợi nhuận/(lỗ) gộp của bộ phận,486.168.904,886.403.707,(593.894.393),5.608.026,784.286.244,486168904.0,886403707.0,-593894393.0,5608026.0,784286244.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(876.752.056),,,,,-876752056.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,485.311.318,,,,,485311318.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(2.195.843.856),,,,,-2195843856.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,9.709.924,,,,,9709924.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,(1.793.288.426),,,,,-1793288426.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,181.078.732,,,,,181078732.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(41.803.130),,,,,-41803130.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,124.402.123,,,,,124402123.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,(1.529.610.701),,,,,-1529610701.0
