row_label_raw,row_label_full,Name of Company,Place of establishment,Rate of interest,Rate of voting rights,Principal activities,numeric__Place of establishment,numeric__Rate of interest,numeric__Rate of voting rights,numeric__Principal activities
Investments in joint ventures and associates,Investments in joint ventures and associates,Investments in joint ventures and associates,Investments in joint ventures and associates,Investments in joint ventures and associates,Investments in joint ventures and associates,Investments in joint ventures and associates,,,,
- Visorutex Joint Venture Enterprise,Investments in joint ventures and associates > - Visorutex Joint Venture Enterprise,- Visorutex Joint Venture Enterprise,Ho Chi Minh City,27.57%,27.57%,"Grow, exploit and trade rubber",,27.57,27.57,
- Nam Tau Uyen Joint Stock Corporation,Investments in joint ventures and associates > - Nam Tau Uyen Joint Stock Corporation,- Nam Tau Uyen Joint Stock Corporation,Binh Duong province,20.42%,20.42%,Industrial park infrastructure,,20.42,20.42,
Viet Lao Rubber JSC,Investments in joint ventures and associates > Viet Lao Rubber JSC,Viet Lao Rubber JSC,Ho Chi Minh City,20.66%,20.66%,"Grow, exploit and trade rubber",,20.66,20.66,
- Ben Thanh Rubber JSC,Investments in joint ventures and associates > - Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,Ho Chi Minh City,48.85%,48.85%,Rubber industry,,48.85,48.85,
- Tan Bien Kampongthom JSC,Investments in joint ventures and associates > - Tan Bien Kampongthom JSC,- Tan Bien Kampongthom JSC,Tay Ninh province,41.00%,41.00%,"Grow, exploit and trade rubber",,41.0,41.0,
- Dong Nai Kratie JSC,Investments in joint ventures and associates > - Dong Nai Kratie JSC,- Dong Nai Kratie JSC,Dong Nai province,20.77%,20.77%,"Grow, exploit and trade rubber",,20.77,20.77,
- Dong Phu Kratie JSC,Investments in joint ventures and associates > - Dong Phu Kratie JSC,- Dong Phu Kratie JSC,Binh Phuoc province,29.96%,29.96%,"Grow, exploit and trade rubber",,29.96,29.96,
- VRG Dongwha MDF Wood JSC,Investments in joint ventures and associates > - VRG Dongwha MDF Wood JSC,- VRG Dongwha MDF Wood JSC,Binh Phuoc province,49.00%,49.00%,Wood processing,,49.0,49.0,
- Ba Ria Kampongthom JSC,Investments in joint ventures and associates > - Ba Ria Kampongthom JSC,- Ba Ria Kampongthom JSC,Ba Ria Vung Tau province,37.48%,37.48%,"Grow, exploit and trade rubber",,37.48,37.48,
- Chu Se Kampongthom JSC,Investments in joint ventures and associates > - Chu Se Kampongthom JSC,- Chu Se Kampongthom JSC,Gia Lai province,50.48%,50.48%,"Grow, exploit and trade rubber",,50.48,50.48,
- Mung Yang - Ratanakiri Rubber JSC,Investments in joint ventures and associates > - Mung Yang - Ratanakiri Rubber JSC,- Mung Yang - Ratanakiri Rubber JSC,Gia Lai province,47.49%,47.49%,"Grow, exploit and trade rubber",,47.49,47.49,
- Krong Buk - Ratanakiri Rubber JSC,Investments in joint ventures and associates > - Krong Buk - Ratanakiri Rubber JSC,- Krong Buk - Ratanakiri Rubber JSC,Dak Lak province,39.98%,39.98%,"Grow, exploit and trade rubber",,39.98,39.98,
- Chu Prong - Stung Treng Rubber JSC,Investments in joint ventures and associates > - Chu Prong - Stung Treng Rubber JSC,- Chu Prong - Stung Treng Rubber JSC,Gia Lai province,30.31%,30.31%,"Grow, exploit and trade rubber",,30.31,30.31,
- Ho Chi Minh City Rubber JSC,Investments in joint ventures and associates > - Ho Chi Minh City Rubber JSC,- Ho Chi Minh City Rubber JSC,Ho Chi Minh City,27.14%,27.14%,"Grow, exploit and trade rubber",,27.14,27.14,
- Dau Tieng Kratie Rubber JSC,Investments in joint ventures and associates > - Dau Tieng Kratie Rubber JSC,- Dau Tieng Kratie Rubber JSC,Binh Duong province,34.00%,34.00%,"Grow, exploit and trade rubber",,34.0,34.0,
- Dau Tieng Cambodia Rubber JSC,Investments in joint ventures and associates > - Dau Tieng Cambodia Rubber JSC,- Dau Tieng Cambodia Rubber JSC,Binh Duong province,42.81%,42.81%,"Grow, exploit and trade rubber",,42.81,42.81,
- Plu Rieng Kratie Rubber JSC,Investments in joint ventures and associates > - Plu Rieng Kratie Rubber JSC,- Plu Rieng Kratie Rubber JSC,Binh Phuoc province,46.00%,46.00%,"Grow, exploit and trade rubber",,46.0,46.0,
- An Dien Industrial JSC,Investments in joint ventures and associates > - An Dien Industrial JSC,- An Dien Industrial JSC,Binh Duong province,38.50%,38.50%,Industrial park infrastructure,,38.5,38.5,
- VRG Long Thanh Investment and Development Corporation,Investments in joint ventures and associates > - VRG Long Thanh Investment and Development Corporation,- VRG Long Thanh Investment and Development Corporation,Dong Nai province,22.00%,22.00%,Industrial park infrastructure,,22.0,22.0,
