row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,
Hà An,Phải thu khác > Hà An,Hà An,Tạm hoàn ứng cho chủ đầu tư,2.054.879.750.566,2.439.734.970.356,,2054879750566.0,2439734970356.0
Hà An,Phải thu khác > Hà An,Hà An,Ký quỹ môi giới,1.950.750.000.000,1.983.950.000.000,,1950750000000.0,1983950000000.0
Hà An,Phải thu khác > Hà An,Hà An,Lãi cho vay,8.916.942.494,1.630.136.987,,8916942494.0,1630136987.0
Ông Nguyễn Văn Văn,Phải thu khác > Ông Nguyễn Văn Văn,Ông Nguyễn Văn Văn,"Tiền đặt cọc, ký quỹ dự án",642.708.100.000,693.462.750.000,,642708100000.0,693462750000.0
Ông Nguyễn Văn Văn,Phải thu khác > Ông Nguyễn Văn Văn,Ông Nguyễn Văn Văn,Chi hộ,-,248.996.160,,,248996160.0
Charm & CI,Phải thu khác > Charm & CI,Charm & CI,Ký quỹ môi giới dự án,235.000.000.000,222.382.257.533,,235000000000.0,222382257533.0
Hà Thuận Hùng,Phải thu khác > Hà Thuận Hùng,Hà Thuận Hùng,Tạm hoàn ứng cho chủ đầu tư,76.432.457.606,-,,76432457606.0,
Hà Thuận Hùng,Phải thu khác > Hà Thuận Hùng,Hà Thuận Hùng,Ký quỹ môi giới dự án,31.114.000.000,-,,31114000000.0,
DXMN,Phải thu khác > DXMN,DXMN,Ký quỹ môi giới dự án,62.450.000.000,-,,62450000000.0,
DXMN,Phải thu khác > DXMN,DXMN,Gớp vốn theo HĐHTKD,1.015.472.100,45.379.472.100,,1015472100.0,45379472100.0
DXMN,Phải thu khác > DXMN,DXMN,Lãi cho vay,406.103.300,-,,406103300.0,
Hội An,Phải thu khác > Hội An,Hội An,Ký quỹ môi giới dự án,38.150.000.000,-,,38150000000.0,
DTMB,Phải thu khác > DTMB,DTMB,"Tiền đặt cọc, ký quỹ dự án",3.300.000.000,3.300.000.000,,3300000000.0,3300000000.0
DXG,Phải thu khác > DXG,DXG,Chi hộ,2.480.489.982,2.480.489.982,,2480489982.0,2480489982.0
DXG,Phải thu khác > DXG,DXG,"Tiền đặt cọc, ký quỹ dự án",1.950.000.000,1.800.000.000,,1950000000.0,1800000000.0
FBV,Phải thu khác > FBV,FBV,Gớp vốn theo HĐHTKD,-,14.185.405.800,,,14185405800.0
,,,,5.109.553.316.048,5.408.554.478.918,,5109553316048.0,5408554478918.0
Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,,,
DXMN,Trà trước cho người bán ngắn hạn > DXMN,DXMN,Dịch vụ môi giới,18.823.562.352,-,,18823562352.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Vicco,Phải trả người bán ngắn hạn > Vicco,Vicco,Thuê văn phòng,4.333.061.487,1.628.997.464,,4333061487.0,1628997464.0
Hà An,Phải trả người bán ngắn hạn > Hà An,Hà An,"Doanh thu từ bán căn hộ, nhà phố và đất nền",398.407.650,-,,398407650.0,
Hà An,Phải trả người bán ngắn hạn > Hà An,Hà An,Chi phí tiện ích,500.668,-,,500668.0,
Các cá nhân,Phải trả người bán ngắn hạn > Các cá nhân,Các cá nhân,Mua đất,-,118.338.220.000,,,118338220000.0
DXG,Phải trả người bán ngắn hạn > DXG,DXG,Gớp vốn theo HĐHTKD,-,46.984.249.087,,,46984249087.0
FBV,Phải trả người bán ngắn hạn > FBV,FBV,Dịch vụ xây dựng,-,19.838.993.997,,,19838993997.0
DBFS,Phải trả người bán ngắn hạn > DBFS,DBFS,Dịch vụ dự án,-,7.848.983.253,,,7848983253.0
DTMB,Phải trả người bán ngắn hạn > DTMB,DTMB,Phí môi giới,-,6.279.652.657,,,6279652657.0
,,,,4.731.969.805,200.919.096.458,,4731969805.0,200919096458.0
