row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Đã trình bày lại - Thuyết minh số 33),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Đã trình bày lại - Thuyết minh số 33)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,22.1,9.311.261.949.710,8.879.889.224.469,,221.0,9311261949710.0,8879889224469.0
02,02,02,2. Các khoản giảm trừ doanh thu,22.1,(472.636.955.295),(501.870.279.526),,221.0,-472636955295.0,-501870279526.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,22.1,8.838.624.994.415,8.378.018.944.943,,221.0,8838624994415.0,8378018944943.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,23,(7.277.551.225.731),(6.974.717.263.535),,23.0,-7277551225731.0,-6974717263535.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.561.073.768.684,1.403.301.681.408,,,1561073768684.0,1403301681408.0
21,21,21,6. Doanh thu hoạt động tài chính,22.2,26.733.054.122,40.906.832.387,,222.0,26733054122.0,40906832387.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,25,(272.068.535.647) (238.355.497.769),(313.557.683.979) (275.657.706.840),,25.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,25,(272.068.535.647) (238.355.497.769),(313.557.683.979) (275.657.706.840),,25.0,,
25,25,25,8. Chi phí bán hàng,24,(159.933.838.538),(140.516.313.734),,24.0,-159933838538.0,-140516313734.0
26,26,26,9. Chi phí quản lý doanh nghiệp,24,(214.737.139.683),(187.952.951.502),,24.0,-214737139683.0,-187952951502.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,941.067.308.938,802.181.564.580,,,941067308938.0,802181564580.0
31,31,31,11. Thu nhập khác,26,3.473.821.039,11.522.979.635,,26.0,3473821039.0,11522979635.0
32,32,32,12. Chi phí khác,26,(16.583.616.013),(1.293.976.038),,26.0,-16583616013.0,-1293976038.0
40,40,40,13. (Lỗ) lợi nhuận khác,,(13.109.794.974),10.229.003.597,,,-13109794974.0,10229003597.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,927.957.513.964,812.410.568.177,,,927957513964.0,812410568177.0
51,51,51,15. Chi phí thuế TNDN hiện hành,28.1,(190.059.148.853),(181.395.737.574),,281.0,-190059148853.0,-181395737574.0
52,52,52,16. Thu nhập thuế TNDN hoãn lại,28.1,2.711.346.024,2.682.366.992,,281.0,2711346024.0,2682366992.0
60,60,60,17. Lợi nhuận sau thuế TNDN,,740.609.711.135,633.697.197.595,,,740609711135.0,633697197595.0
61,61,61,18. Lợi nhuận sau thuế của công ty mẹ,,740.363.195.812,633.653.104.797,,,740363195812.0,633653104797.0
62,62,62,19. Lợi nhuận sau thuế của cổ đông không kiểm soát,,246.515.323,44.092.798,,,246515323.0,44092798.0
70,70,70,20. Lãi cơ bản trên cổ phiếu,30,1.940,1.431,,30.0,1940.0,1431.0
71,71,71,21. Lãi suy giảm trên cổ phiếu,30,1.940,1.431,,30.0,1940.0,1431.0
