row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty TNHH,Công ty TNHH,Công ty TNHH,Thu hồi gốc cho vay,223.860.000.000,-,,223860000000.0,
Saigontel Long An,Saigontel Long An,Saigontel Long An,Cho vay,115.400.000.000,37.417.340.000,,115400000000.0,37417340000.0
Saigontel Long An,Saigontel Long An,Saigontel Long An,Nhận thanh toán lãi cho vay,9.000.000.000,-,,9000000000.0,
Saigontel Long An,Saigontel Long An,Saigontel Long An,Lãi cho vay,5.805.569.861,6.187.543.661,,5805569861.0,6187543661.0
Saigontel Long An,Saigontel Long An,Saigontel Long An,Góp vốn,-,62.500.000.000,,,62500000000.0
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Thu hồi gốc cho vay,-,10.000.000.000,,,10000000000.0
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Cho vay,-,10.000.000.000,,,10000000000.0
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Lãi cho vay,-,342.465.754,,,342465754.0
Ông Nguyễn Hoàng,Ông Nguyễn Hoàng,Ông Nguyễn Hoàng,Cho vay,232.460.000.000,-,,232460000000.0,
Kỳ Lân,Kỳ Lân,Kỳ Lân,Lãi cho vay,2.085.771.233,-,,2085771233.0,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi cho vay,16.897.734.685,18.432.563.092,,16897734685.0,18432563092.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Cho vay,3.000.000.000,5.000.000.000,,3000000000.0,5000000000.0
